fishing_number,previous_companies,blacklisted_in,previous_callsign,name,links,owner_company,mmsi,url,system,imo,previous_flags,previous_names,source,flag,callsign,notes,date,vessel_length,controller_region,class
,,"Greenpeace
Reason for blacklisting: Illegal transhipment
Source of IUU information: NEAFC",,Aquamarine-II,,,515 021000,http://blacklist.greenpeace.org/1/vessel/show/136-aquamarine-ii,,8028424.0,Cambodia,Cliff,GreenpeaceBlacklist,,XUVV9,,2008-01-01,80.7,United States,Reefer
EK0010,,"Greenpeace
Reason for blacklisting: August 7, 2006 - NAFO inspectors issued one citation to the Estonian vessel LOOTUS II for misreporting catches

July 31, 2006 - The Estonian vessel LOOTUS II was issued one citation for misrecording catches. This is considered to be a serious infringement of NAFO’s conservation and enforcement measures. 

December 18, 2006 - The Lootus II, an Estonian vessel, was given a citation for small mesh size.

July 31, 2004 - The Estonian vessel LOOTUS II was issued one citation for misrecording catches. This is considered to be a serious infringement of NAFO’s conservation and enforcement measures.
Source of IUU information: http://www.dfo-mpo.gc.ca/overfishing-surpeche/en_citations_e.htm",,Armastus,,Grupo Oya Perez SL,276428000.0,http://blacklist.greenpeace.org/1/vessel/show/58-armastus,,7407659.0,Namibia,Fragana,GreenpeaceBlacklist,Estonia,ESPU,"On February 22nd 2002, the owner company of the Lootus II, MFV Lootus Ltd, was given a 5000 EEK",2009-02-22,53.9,Spain,Trawler
5RC868,,"Greenpeace
Reason for blacklisting: From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.
Source of IUU information: Vessel was observed during Greenpeace Mediterranean Rainbow Warrior tour 2006",,Athena,,,,http://blacklist.greenpeace.org/1/vessel/show/162-athena,,,,,GreenpeaceBlacklist,Italy,,"From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.",2006-06-25,,Italy,Driftnetter
A-2318-N,,"Greenpeace
Reason for blacklisting: Two citations are issued to the Aveirense for failing to wait 30 

minutes before retrieving fishing gear after being notified that 

inspectors were coming on board and for fishing for species under 

moratoria.
Source of IUU information: http://www.dfo-mpo.gc.ca/media/back-fiche/2005/chronology-eng.htm",,Aveirense,,Grupo Silva Viera,426350220.0,http://blacklist.greenpeace.org/1/vessel/show/56-aveirense,,7362823.0,,Adelia Maria,GreenpeaceBlacklist,Portugal,CUFV,"In May 2004 upon approach of the Canadian patrol vessel, the Aveirense started retrieving its trawl. The master was directed not to retrieve the net. The master agreed verbally to this direction but actually retrieved and dumped the catch prior to the boarding. Inspectors observed small American plaice/witch observed on the deck area and in the factory. There was evidence of flounder species",2006-04-30,80.1,Portugal,Trawler
,,"Greenpeace
Reason for blacklisting: 
Source of IUU information: NEAFC",,Avior,,,,http://blacklist.greenpeace.org/1/vessel/show/133-avior-broken-up,,7612321.0,,Korallovyy,GreenpeaceBlacklist,Georgia,4LIJ,,Broken Up ,55.0,Russian Federation,Reefer
03CS00822,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel was observed by  Greenpeace Mediterranean Rainbow Warrior tour 2006",,Biagio Anna,,,,http://blacklist.greenpeace.org/1/vessel/show/161-biagio-anna,,,,,GreenpeaceBlacklist,Italy,,"From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.",2009-04-26,12.2,Italy,Driftnetter
A-2130-N,,"Greenpeace
Reason for blacklisting: When the net was eventually

retrieved, its mesh was 107 millimetres wide.

To protect threatened species, the smallest

mesh width allowed on nets under

international rules are 130 millimetres wide.
Source of IUU information: http://www.greenpeace.org/raw/content/international/press/reports/NAFO-Case-Study.pdf",,Brites,,Grupo Silva Viera,263516000.0,http://blacklist.greenpeace.org/1/vessel/show/55-brites,,7107431.0,,,GreenpeaceBlacklist,Portugal,CUFP,"The Canadian fisheries inspectors boarder the Brites on May 4 2004. Rotting cod, American plaice and red fish - allspecies under moratoria was found poking through it's nets. When the net was eventually retrieved, its mesh was 107 millimetres wide. To protect threatened species, the smallest mesh width allowed on nets is 130 millimetres wide.Despite clear evidence indicating a violation of international fishing regulations, the Brites was not prosecuted. Consultations between the Portuguese government and the European Union resulted in an order for the Brites to return to Portugal to undergo inspection. A fisheries inspector from the EU remained on board for the trip home. The decision to send the boat home was supposed to demonstrate the EUs commitment to conservation.",1971-08-31,80.3,Portugal,Trawler
,,"Greenpeace
Reason for blacklisting: The vessel has been officially blacklisted by NEAFC, Nafo and the EU. It is now delisted, but since the ownership of the vessel hasn't changed Greenpeace maintains the vessel on the blacklist
Source of IUU information: Crise/combustíveis: Armador Silva Vieira despede 219 trabalhadores e admite mais desemprego na pesca longínqua, 12 Juni 2008, Agência Lusa - Serviço Economia",,Caribe,,Grupo Silva Viera,,http://blacklist.greenpeace.org/1/vessel/show/53-caribe,,7351161.0,Togo,Kerguelen,GreenpeaceBlacklist,Cuba,COJB,"On September 20, 2005, Greenpeace confronted the high seas bottom trawler Kerguelen fishing illegally in the international waters of the Barents Sea known as the ‘Loophole’. At the time, available information indicated that the vessel was flagged to Togo, despite contradictory statements by the Captain and in the ship’s paperwork. The vessel is known to have fished under several different flags in recent years and has been blacklisted as a vessel, which has engaged in IUU or ‘pirate’ fishing since 2005 by the Northeast Atlantic Fisheries Commission, the European Union, and in 2006, by Iceland. The Kerguelen’s captain admitted to Greenpeace that he was knowingly bottom trawling for deep-sea fish with no legal quota and therefore engaged in illegal, unregulated and unreported",2007-09-25,87.0,Portugal,Trawler
,,"Greenpeace
Reason for blacklisting: Greenpeace has documented the activities of these five 

fishing trawlers since April 2005; as they fished illegally 

without quota for redfish in the Irminger Sea, over-wintered in the German port of Rostock, and then returned illegally to their old fishing grounds in the North Atlantic in 2006
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Carmen,,,213532000.0,http://blacklist.greenpeace.org/1/vessel/show/134-carmen-broken-up,,8522030.0,Dominica,Ostrovets,GreenpeaceBlacklist,Georgia,4LFK,"Where others failed, Russia acts Ending the days of plunder: halting the pirates The ""Rostock Pirates"" exposed in Lithuania The Georgian ""Trawler Girls"" - Factsheet Greenpeace stops pirate fishing vessels in European port … Rostock Update: Fifth pirate now in chains! - Ocean Defenders ...",Broken up ,62.2,Russian Federation,Trawler
,,"Greenpeace
Reason for blacklisting: Illegal transport
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/headed-and-gutted-illegal-cod.pdf",,Cefey,,,273315820.0,http://blacklist.greenpeace.org/1/vessel/show/135-cefey-broken-up-2007,,7700104.0,Panama,Briz,GreenpeaceBlacklist,,UGAU,,Broken up 2007 ,,Russian Federation,Reefer
MNLD000989,,"Greenpeace
Reason for blacklisting: Fishing with a Fish Aggregating Device",,Champion 72,,Frabelle Fishing Corp,,http://blacklist.greenpeace.org/1/vessel/show/179-champion-72,,,,,GreenpeaceBlacklist,Philippines,DUA6172,Fishing with a Fish Aggregating Device,2009-12-07,19.5,Philippines,Purse Seine support vessel
CT3-5426,,"Greenpeace
Reason for blacklisting: Illegal Fishing inside Philippines EEZ
Source of IUU information: http://news.xinhuanet.com/english/2009-07/29/content_11793117.htm",,Cheng Chuan Shiang No.3,,"CHEN JUANG, CHYONG-HUEY",,http://blacklist.greenpeace.org/1/vessel/show/186-cheng-chuan-shiang-no3,,Nil,,,GreenpeaceBlacklist,Taiwan,BK7426,"Six illegal foreign fishermen were arrested on 26 July 2009 as their boat surrendered to the Philippine marine authorities under warning gun shots and a three-hour hot pursuit in the northeastern Philippine waters. The fishing vessel, numbered BK 7426, was captured some 67 nautical miles off the Dinapiqui village of Aurora province at around 7:30 a.m.",2010-01-24,20.3,Taiwan,Longliner
CT4-2205,,"Greenpeace
Reason for blacklisting: The Chia Shun Hsing No. 6, a Taiwan-flagged vessel, was found fishing inside the USA’s EEZ around the Northern Mariana Islands, a USA Commonwealth Territory, without a permit in August 2008 by USA vessel and aircraft patrols.
Source of IUU information: WCPFC TTC5 October 2009",,CHIA SHUN HSING NO.6,,"YE, KUN-SHENG",,http://blacklist.greenpeace.org/1/vessel/show/194-chia-shun-hsing-no6,,,,,GreenpeaceBlacklist,Taiwan,BJ4205,"Taiwan has acknowledged that the vessel fished illegally in US waters and suspended the vessel’s license for three months and the captain’s license for six months in accordance with national administrative procedures.The USA issued a fine in the amount of USD 130,000 on 27 February 2009.Taiwan instructed the vessel to settle with the USA Government in September 2009. TCC5 agreed to include the Chia Shun Hsing No. 6 on the Provisional IUU Vessel List and noted that the vessel shall be removed from the list once the USA confirms satisfactory settlement of the matter.",2010-08-17,22,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Chin Fu Yuh,,,,http://blacklist.greenpeace.org/1/vessel/show/39-chin-fu-yuh,,,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Chun Ying 212,,,576855000.0,http://blacklist.greenpeace.org/1/vessel/show/37-chun-ying-212,,8947163.0,Belize,,GreenpeaceBlacklist,Vanuatu,YJSW9,"Chun Ying No.212 was reflagged from Belize to Vanuatu in an agreed measure to eliminate Taiwan IUU large scale longliners. In accordance with the ICCAT and IOTC Resolutions, Japan, in cooperation with Taiwan, has been working to eliminate Taiwanese IUU LSTLVs. By February 2002, Japan and Taiwan reached an agreement to scrap the Japan-built Taiwanese IUU LSTLVs and re-register to Taiwan of the Taiwan-built IUU LSTLVs. Seventy percent of those were new, leaving no room for re-registration to Taiwan. Japan talked with Vanuatu and Seychelles, major flag states of the remaining Taiwanese FOC/IUU LSTLVs, and reached an agreement in 2003 with them to put these LSTLVs under strict control. It is clear that this didn't stop illegal operations28 Large Scale Tuna Longline Fishing Vessels",1998-12-31,48.6,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Chun Ying No. 777,,,576856000.0,http://blacklist.greenpeace.org/1/vessel/show/38-chun-ying-no-777,,8947101.0,Belize,,GreenpeaceBlacklist,Vanuatu,YJSX2,"Chun Ying No.777 was reflagged from Belize to Vanuatu in an agreed measure to eliminate Taiwan IUU large scale longliners. In accordance with the ICCAT and IOTC Resolutions, Japan, in cooperation with Taiwan, has been working to eliminate Taiwanese IUU LSTLVs. By February 2002, Japan and Taiwan reached an agreement to scrap the Japan-built Taiwanese IUU LSTLVs and re-register to Taiwan of the Taiwan-built IUU LSTLVs. Seventy percent of those were new, leaving no room for re-registration to Taiwan. Japan talked with Vanuatu and Seychelles, major flag states of the remaining Taiwanese FOC/IUU LSTLVs, and reached an agreement in 2003 with them to put these LSTLVs under strict control. It is clear that this didn't stop illegal operations28 Large Scale Tuna Longline Fishing Vessels",1997-12-31,46.5,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Inside Division 58.4.3B
10-12-05 and 23-05-06




Source of IUU information: http://www.ccamlr.org/pu/e/e_pubs/cr/07/a6.pdf",,Comet,,Jose Manuel Salgueiro,,http://blacklist.greenpeace.org/1/vessel/show/117-comet-reported-as-sunk,,8324139,Cambodia,Odin,GreenpeaceBlacklist,Togo,5VCT0,"The armed Australian patrol ship Oceanic Viking has uncovered further evidence of fishing boats operating in Antarctic waters, but outside Australia's Exclusive Economic Zone",reported as sunk ,62.8,Spain,Longline
,,"Greenpeace
Reason for blacklisting: Misreporting discarded species in logbook
Source of IUU information: http://www.ffa.int/node/260",,Dae Yang,,CPK Fishing Company Limited,452011110,http://blacklist.greenpeace.org/1/vessel/show/206-dae-yang,,,,,GreenpeaceBlacklist,Fiji,3DNV,"Breached the conditions of its license and committed an offence under the Tuvalu  Marine Resources Act 2006, by misreporting discarded species on its log books. The vessel was located by the Tuvaluan Patrol Boat HMTSS TE MATAILI with the assistance of the USCG C130 that was providing aerial surveillance of the Tuvaluan EEZ.The vessel was held by TE MATAILI whilst theTuvaluan Department of Fisheries – Fisheries Surveillance Unit, negotiated with the vessel's parent company, CPK Fishing Company Limited. A fine in accordance with the Act of USD $10,000 was imposed on the Fishing Company, and after payment of the fine, HMTSS TE MATAILI released the vessel.",2010-08-18,31.82,"Korea, Republic of",Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Da Yang 11,,,,http://blacklist.greenpeace.org/1/vessel/show/50-da-yang-11,,No Data,,,GreenpeaceBlacklist,China Mainland,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,,China Mainland,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Da Yang 18,,,,http://blacklist.greenpeace.org/1/vessel/show/49-da-yang-18,,No Data,,,GreenpeaceBlacklist,China Mainland,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,,China Mainland,Longline
14ME00621,,"Greenpeace
Reason for blacklisting: Fishing outside the licensed area

ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Arctic Sunrise tour 2008

http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.ListSearchSimpleOneVessel&COUNTRY;_CODE=ITA&CFR;_CODE=ITA000026877&search;_type=simple",,Diomede II,,,,http://blacklist.greenpeace.org/1/vessel/show/163-diomede-ii,,,,,GreenpeaceBlacklist,Italy,IICC2,"May 7, 2008 Just a few days into the Arctic Sunrise “Defending Our Mediterranean” tour, the vessel has come face-to-face with pirates. In the early hours of the morning, we confiscated almost two kilometres of illegal driftnet, containing dead, undersized bluefin tuna - and a small sea turtle. The Diomede II was some 50 kilometres from the coast – and, with the seabed being 1500 metres down, they could only be fishing with driftnets. Diomede II is licensed only to fish within 15 miles",2008-05-07,14.1,Italy,Driftnetter
,,"Greenpeace
Reason for blacklisting: Violation of the Marshall Islands Shark Sanctuary, which was passed into law in October 2011
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=11973405
http://www.sharkdefenders.com/2012/07/pirates-busted-for-poaching-sharks-in.html#sthash.f9B9HPqj.dpuf
https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=4422
http://www.rimajol.com/forums/viewtopic.php?p=4583
http://www.greenpeace.org/international/Global/international/publications/oceans/2010/Taiwan%20FOC%20report%202010.pdf",,Eastern Star,,"EASTERN STAR CO., LTD.",576901000,http://blacklist.greenpeace.org/1/vessel/show/232-eastern-star,,8996097,,,GreenpeaceBlacklist,Vanuatu,YJUC6,"July 2012 - Three fishing vessels were caught with shark skins, fins, and carcasses on board by the Marshall Islands Marine Resources Authority",2003-01-01,80,Taiwan,Purse Seiner
MO818,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,El Jazira,,,,http://blacklist.greenpeace.org/1/vessel/show/171-el-jazira,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-06-20,,Tunisia,Driftnetter
,,"Greenpeace
Reason for blacklisting: Greenpeace has documented the activities of these five 

fishing trawlers since April 2005; as they fished illegally 

without quota for redfish in the Irminger Sea, over-wintered in the German port of Rostock, and then returned illegally to their old fishing grounds in the North Atlantic in 2006
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Eva,,,213530000.0,http://blacklist.greenpeace.org/1/vessel/show/138-eva-broken-up,,8522119.0,Dominica,Oyra,GreenpeaceBlacklist,Georgia,4LEQ,"Where others failed, Russia acts Ending the days of plunder: halting the pirates The ""Rostock Pirates"" exposed in Lithuania The Georgian ""Trawler Girls"" - Factsheet Greenpeace stops pirate fishing vessels in European port … Rostock Update: Fifth pirate now in chains! - Ocean Defenders ...",Broken up ,62.2,Russian Federation,Trawler
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside New Caledonia EEZ
Source of IUU information: http://www.pacificmagazine.net/news/2004/11/22/french-polynesia-taiwanese-fishing-vessel-intercepted",,Feng Rong Shen,,"Chang Wu, Hsiu-Li",,http://blacklist.greenpeace.org/1/vessel/show/33-feng-rong-shen,,,,,GreenpeaceBlacklist,Taiwan,BJ2001,"The Feng Rong Shengwas was found fishing illegally in New Caledonia's EEZ in January 2004. The vessel was spotted by a routine EEZ surveillance flight and intercepted by the French Navy about 180 kilometres Southeast off Nouméa, close to the Isle of Pines. The skipper did not respond to initial summons by French authorities, but was finally boarded by military patrol boat La Glorieuse. The ship's skipper claimed he has a fishing licence allowing him to operate in Vanuatu, but that he had encountered engine problems that caused the ship to drift in New Caledonia's EEZ. Police found up to forty tonnes of sharks fins and fresh fish onboard the seized vessel.",,27.9,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Fong Kuo No.136,,,,http://blacklist.greenpeace.org/1/vessel/show/41-fong-kuo-no136,,No data,,,GreenpeaceBlacklist,Taiwan,BI2537,One of the 28 Large Scale Tuna Longline Fishing Vessels,,55.6,Taiwan,longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Fong Kuo No.3,,,576788000.0,http://blacklist.greenpeace.org/1/vessel/show/40-fong-kuo-no3,,8996205.0,Georgia,Namaka No. 333,GreenpeaceBlacklist,Vanuatu,YJSN8,One of the 28 Large Scale Tuna Longline Fishing Vessels,2005-01-31,48.7,Taiwan,Longline
